,Lib Dem,Labour,UKIP,Conservative
2017-10-03 13:00:00,,,,14.0
2017-10-03 14:00:00,,,,25.0
2017-10-03 15:00:00,,,,25.0
2017-10-03 16:00:00,,,,17.0
2017-10-03 17:00:00,,,,26.0
2017-10-03 18:00:00,,,,10.0
2017-10-03 19:00:00,,,,8.0
2017-10-03 20:00:00,,,,4.0
2017-10-03 21:00:00,,,,2.0
2017-10-03 22:00:00,,,,3.0
2017-10-03 23:00:00,,,,3.0
2017-10-04 00:00:00,,,,0.0
2017-10-04 01:00:00,,,,2.0
2017-10-04 02:00:00,,,,0.0
2017-10-04 03:00:00,,,,0.0
2017-10-04 04:00:00,,,,0.0
2017-10-04 05:00:00,,,,2.0
2017-10-04 06:00:00,,,,0.0
2017-10-04 07:00:00,,,,6.0
2017-10-04 08:00:00,,,,16.0
2017-10-04 09:00:00,,,,9.0
2017-10-04 10:00:00,,,,19.0
2017-10-04 11:00:00,,,,71.0
2017-10-04 12:00:00,,,,17.0
2017-10-04 13:00:00,,,,18.0
2017-10-04 14:00:00,,,,11.0
2017-10-04 15:00:00,,,,4.0
2017-10-04 16:00:00,,,,2.0
2017-10-04 17:00:00,,,,3.0
2017-10-04 18:00:00,,,,8.0
2017-10-04 19:00:00,,,,6.0
2017-10-04 20:00:00,,,,2.0
2017-10-04 21:00:00,,,,3.0
2017-10-04 22:00:00,,,,1.0
